Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_SOL
2022-12-22 09:00:00,Bitfinex,SOL/USD,12.091,12.177,12.091,12.15,15045.756090633002,1238.33383462
2022-12-22 08:00:00,Bitfinex,SOL/USD,12.05,12.133,12.05,12.101,18195.11613516039,1503.60434139
2022-12-22 07:00:00,Bitfinex,SOL/USD,12.075,12.082,12.001,12.08,8931.7230518672,739.38104734
2022-12-22 06:00:00,Bitfinex,SOL/USD,12.075,12.099,12.051,12.083,3497.9942834814296,289.49716821
2022-12-22 05:00:00,Bitfinex,SOL/USD,12.079,12.094,12.061,12.082,2640.0164980488603,218.50823523
2022-12-22 04:00:00,Bitfinex,SOL/USD,12.146,12.156,12.079,12.085,1088.46265908795,90.06724527
2022-12-22 03:00:00,Bitfinex,SOL/USD,12.136,12.147,12.117,12.132,314.3277314082,25.90897885
2022-12-22 02:00:00,Bitfinex,SOL/USD,12.113,12.134,12.102,12.123,7360.873337059469,607.1824908899999
2022-12-22 01:00:00,Bitfinex,SOL/USD,12.179,12.192,12.095,12.103,7990.086357102849,660.17403595
2022-12-22 00:00:00,Bitfinex,SOL/USD,12.138,12.162,12.096,12.162,14172.01254119166,1165.26990143
2022-12-21 23:00:00,Bitfinex,SOL/USD,12.06,12.239,12.034,12.157,27240.33618226332,2240.71203276
2022-12-21 22:00:00,Bitfinex,SOL/USD,12.068,12.14,12.043,12.043,9400.800777809627,780.60290441
2022-12-21 21:00:00,Bitfinex,SOL/USD,11.971,12.092,11.971,12.076,20364.02613051784,1686.32213734
2022-12-21 20:00:00,Bitfinex,SOL/USD,11.965,11.989,11.911,11.97,7487.946850752901,625.55946957
2022-12-21 19:00:00,Bitfinex,SOL/USD,12.008,12.025,11.952,11.971,54656.77785957941,4565.7654214
2022-12-21 18:00:00,Bitfinex,SOL/USD,12.049,12.068,11.998,12.006,156.1491043344,13.0059224
2022-12-21 17:00:00,Bitfinex,SOL/USD,11.98,12.049,11.971,12.049,2431.75088820134,201.82180166
2022-12-21 16:00:00,Bitfinex,SOL/USD,12.065,12.065,11.988,11.988,3898.2799986192,325.1818484
2022-12-21 15:00:00,Bitfinex,SOL/USD,12.008,12.075,12.008,12.067,8858.80610461869,734.13492207
2022-12-21 14:00:00,Bitfinex,SOL/USD,12.049,12.127,11.934,11.988,26864.06576675652,2240.91306029
2022-12-21 13:00:00,Bitfinex,SOL/USD,12.062,12.096,12.008,12.063,9259.253547594451,767.57469515
2022-12-21 12:00:00,Bitfinex,SOL/USD,12.136,12.136,12.033,12.06,5350.673926330201,443.67113817
2022-12-21 11:00:00,Bitfinex,SOL/USD,12.108,12.119,12.067,12.119,4373.2212960979405,360.85661326
2022-12-21 10:00:00,Bitfinex,SOL/USD,12.117,12.14,12.094,12.108,2262.61414925028,186.86935491
2022-12-21 09:00:00,Bitfinex,SOL/USD,12.096,12.131,12.084,12.131,695.15549739181,57.30405551
2022-12-21 08:00:00,Bitfinex,SOL/USD,12.016,12.151,11.98,12.119,87626.88164352936,7230.53730865
2022-12-21 07:00:00,Bitfinex,SOL/USD,12.04,12.057,12.03,12.03,5363.059623164099,445.80711747
2022-12-21 06:00:00,Bitfinex,SOL/USD,12.075,12.086,12.022,12.023,10229.19677283724,850.80235988
2022-12-21 05:00:00,Bitfinex,SOL/USD,11.988,12.111,11.934,12.09,9125.2702006011,754.77834579
2022-12-21 04:00:00,Bitfinex,SOL/USD,12.079,12.079,11.996,12.004,7510.604365074839,625.6751387099999
2022-12-21 03:00:00,Bitfinex,SOL/USD,12.152,12.153,12.064,12.083,7966.23373929042,659.29270374
2022-12-21 02:00:00,Bitfinex,SOL/USD,12.192,12.227,12.132,12.142,7564.670820362499,623.01686875
2022-12-21 01:00:00,Bitfinex,SOL/USD,12.196,12.236,12.181,12.207,4546.42340043294,372.44395842
2022-12-21 00:00:00,Bitfinex,SOL/USD,12.261,12.29,12.169,12.206,6366.478423300119,521.58597602
2022-12-20 23:00:00,Bitfinex,SOL/USD,12.299,12.331,12.261,12.27,1258.4948184549,102.56681487
2022-12-20 22:00:00,Bitfinex,SOL/USD,12.271,12.31,12.262,12.28,634.6952498203999,51.68528093
2022-12-20 21:00:00,Bitfinex,SOL/USD,12.228,12.303,12.223,12.281,2593.1486903774003,211.1512654
2022-12-20 20:00:00,Bitfinex,SOL/USD,12.252,12.298,12.22,12.222,4003.6443682536,327.5768588
2022-12-20 19:00:00,Bitfinex,SOL/USD,12.227,12.257,12.221,12.245,2733.63304510595,223.24483831
2022-12-20 18:00:00,Bitfinex,SOL/USD,12.156,12.219,12.145,12.209,3769.33635422932,308.73424148
2022-12-20 17:00:00,Bitfinex,SOL/USD,12.26,12.27,12.156,12.156,6130.3080465918,504.30306405
2022-12-20 16:00:00,Bitfinex,SOL/USD,12.344,12.36,12.225,12.279,11733.05411256522,955.53824518
2022-12-20 15:00:00,Bitfinex,SOL/USD,12.38,12.488,12.332,12.371,26012.30528352993,2102.68412283
2022-12-20 14:00:00,Bitfinex,SOL/USD,12.27,12.411,12.199,12.393,25101.70162105482,2025.47418874
2022-12-20 13:00:00,Bitfinex,SOL/USD,12.362,12.365,12.268,12.279,5951.300453027729,484.67305587
2022-12-20 12:00:00,Bitfinex,SOL/USD,12.384,12.415,12.349,12.349,3052.9723098057298,247.22425377
2022-12-20 11:00:00,Bitfinex,SOL/USD,12.346,12.398,12.32,12.379,14566.10497381259,1176.67864721
2022-12-20 10:00:00,Bitfinex,SOL/USD,12.398,12.398,12.326,12.344,2996.7816516420794,242.77233082
2022-12-20 09:00:00,Bitfinex,SOL/USD,12.403,12.448,12.359,12.375,4609.5960907012495,372.49261339
2022-12-20 08:00:00,Bitfinex,SOL/USD,12.364,12.413,12.322,12.413,11391.48227638154,917.70581458
2022-12-20 07:00:00,Bitfinex,SOL/USD,12.378,12.378,12.317,12.354,117765.90412311455,9532.61325264
2022-12-20 06:00:00,Bitfinex,SOL/USD,12.348,12.389,12.324,12.388,6458.59324971432,521.35883514
2022-12-20 05:00:00,Bitfinex,SOL/USD,12.382,12.415,12.318,12.338,4172.76121751376,338.20402152
2022-12-20 04:00:00,Bitfinex,SOL/USD,12.208,12.448,12.198,12.373,35256.378907248174,2849.46083466
2022-12-20 03:00:00,Bitfinex,SOL/USD,12.245,12.302,12.161,12.197,10837.75704040043,888.55923919
2022-12-20 02:00:00,Bitfinex,SOL/USD,12.144,12.324,12.091,12.232,14335.74960977544,1171.98737817
2022-12-20 01:00:00,Bitfinex,SOL/USD,12.115,12.241,12.051,12.121,29684.46067102905,2449.01086305
2022-12-20 00:00:00,Bitfinex,SOL/USD,11.939,12.143,11.847,12.095,34022.62347014775,2812.94943945
2022-12-19 23:00:00,Bitfinex,SOL/USD,11.806,11.984,11.806,11.945,33406.8507491393,2796.72254074
2022-12-19 22:00:00,Bitfinex,SOL/USD,12.02,12.054,11.681,11.803,98361.5746618231,8333.60795237
2022-12-19 21:00:00,Bitfinex,SOL/USD,12.128,12.139,12.033,12.044,1847.00425057056,153.35472024
2022-12-19 20:00:00,Bitfinex,SOL/USD,11.998,12.158,11.997,12.138,2605.71754530024,214.67437348
2022-12-19 19:00:00,Bitfinex,SOL/USD,11.966,12.063,11.937,12.008,23305.75776310832,1940.85257854
2022-12-19 18:00:00,Bitfinex,SOL/USD,12.051,12.157,11.922,11.98,21773.5677313034,1817.49313283
2022-12-19 17:00:00,Bitfinex,SOL/USD,12.064,12.115,11.93,12.075,49236.91155877199,4077.59101936
2022-12-19 16:00:00,Bitfinex,SOL/USD,12.165,12.234,12.022,12.084,40553.31991297212,3355.95166443
2022-12-19 15:00:00,Bitfinex,SOL/USD,12.258,12.333,12.179,12.179,7339.07725333354,602.60097326
2022-12-19 14:00:00,Bitfinex,SOL/USD,12.263,12.294,12.153,12.254,7398.9299985469,603.79712735
2022-12-19 13:00:00,Bitfinex,SOL/USD,12.311,12.321,12.241,12.27,19106.7480227103,1557.19217789
2022-12-19 12:00:00,Bitfinex,SOL/USD,12.267,12.339,12.247,12.301,7515.754178856349,610.98725135
2022-12-19 11:00:00,Bitfinex,SOL/USD,12.355,12.362,12.278,12.278,7707.37685588486,627.73878937
2022-12-19 10:00:00,Bitfinex,SOL/USD,12.28,12.358,12.28,12.356,3100.53620991932,250.93365247
2022-12-19 09:00:00,Bitfinex,SOL/USD,12.325,12.328,12.277,12.29,10487.7311554142,853.35485398
2022-12-19 08:00:00,Bitfinex,SOL/USD,12.254,12.323,12.235,12.311,6470.48296997531,525.58549021
2022-12-19 07:00:00,Bitfinex,SOL/USD,12.252,12.277,12.192,12.232,15799.62968227688,1291.66364309
2022-12-19 06:00:00,Bitfinex,SOL/USD,12.264,12.314,12.211,12.26,25174.7981751732,2053.40931282
2022-12-19 05:00:00,Bitfinex,SOL/USD,12.32,12.321,12.248,12.248,24485.23792821736,1999.12132007
2022-12-19 04:00:00,Bitfinex,SOL/USD,12.234,12.328,12.22,12.309,44063.25104495127,3579.75879803
2022-12-19 03:00:00,Bitfinex,SOL/USD,12.391,12.391,12.173,12.235,89251.5770498322,7294.77540252
2022-12-19 02:00:00,Bitfinex,SOL/USD,12.547,12.549,12.373,12.405,3467.7663024954,279.54585268
2022-12-19 01:00:00,Bitfinex,SOL/USD,12.504,12.587,12.473,12.546,3916.20435504822,312.14764507
2022-12-19 00:00:00,Bitfinex,SOL/USD,12.398,12.554,12.34,12.489,6864.050461891081,549.60769172
2022-12-18 23:00:00,Bitfinex,SOL/USD,12.462,12.598,12.351,12.368,31592.126803492803,2554.3440171
2022-12-18 22:00:00,Bitfinex,SOL/USD,12.413,12.549,12.372,12.453,6056.300868772139,486.33268038
2022-12-18 21:00:00,Bitfinex,SOL/USD,12.465,12.472,12.407,12.41,6389.2932664328,514.85038408
2022-12-18 20:00:00,Bitfinex,SOL/USD,12.472,12.512,12.461,12.461,11625.08739901493,932.91769513
2022-12-18 19:00:00,Bitfinex,SOL/USD,12.429,12.455,12.378,12.45,7554.127296994499,606.75721261
2022-12-18 18:00:00,Bitfinex,SOL/USD,12.418,12.563,12.356,12.429,91062.33226307084,7326.60167858
2022-12-18 17:00:00,Bitfinex,SOL/USD,12.377,12.41,12.36,12.41,14107.5806562302,1136.79135022
2022-12-18 16:00:00,Bitfinex,SOL/USD,12.316,12.378,12.304,12.378,10598.28084937356,856.21916702
2022-12-18 15:00:00,Bitfinex,SOL/USD,12.317,12.354,12.298,12.323,8066.8924819285,654.6208295
2022-12-18 14:00:00,Bitfinex,SOL/USD,12.359,12.378,12.314,12.317,5311.29883393982,431.21692246
2022-12-18 13:00:00,Bitfinex,SOL/USD,12.429,12.439,12.359,12.359,4980.725187493819,403.00389898
2022-12-18 12:00:00,Bitfinex,SOL/USD,12.398,12.454,12.397,12.422,5645.109986565821,454.44453281
2022-12-18 11:00:00,Bitfinex,SOL/USD,12.367,12.41,12.355,12.399,9309.979970733988,750.8653900099999
2022-12-18 10:00:00,Bitfinex,SOL/USD,12.304,12.376,12.278,12.375,31766.579190843757,2566.99629825
2022-12-18 09:00:00,Bitfinex,SOL/USD,12.452,12.452,12.271,12.32,21531.54460072,1747.6903085
2022-12-18 08:00:00,Bitfinex,SOL/USD,12.449,12.481,12.442,12.454,13242.72891012604,1063.33137226
2022-12-18 07:00:00,Bitfinex,SOL/USD,12.462,12.462,12.43,12.451,297.16291159196,23.86658996
2022-12-18 06:00:00,Bitfinex,SOL/USD,12.481,12.516,12.434,12.454,23058.31008265824,1851.47824656
2022-12-18 05:00:00,Bitfinex,SOL/USD,12.556,12.565,12.48,12.494,3148.65955536388,252.01373102
2022-12-18 04:00:00,Bitfinex,SOL/USD,12.51,12.614,12.502,12.566,7416.64349548288,590.21514368
2022-12-18 03:00:00,Bitfinex,SOL/USD,12.453,12.493,12.453,12.493,2912.71754535957,233.14796649
2022-12-18 02:00:00,Bitfinex,SOL/USD,12.38,12.472,12.38,12.464,12823.7504330952,1028.86316055
2022-12-18 01:00:00,Bitfinex,SOL/USD,12.419,12.432,12.389,12.399,2294.97808025964,185.09380436
2022-12-18 00:00:00,Bitfinex,SOL/USD,12.531,12.536,12.42,12.448,1448.85666308192,116.39272679
2022-12-17 23:00:00,Bitfinex,SOL/USD,12.447,12.546,12.413,12.52,10138.915928072798,809.8175661399999
2022-12-17 22:00:00,Bitfinex,SOL/USD,12.302,12.477,12.26,12.431,50038.71648809536,4025.31706927
2022-12-17 21:00:00,Bitfinex,SOL/USD,12.268,12.321,12.268,12.302,3953.23907371458,321.34929879
2022-12-17 20:00:00,Bitfinex,SOL/USD,12.28,12.316,12.26,12.269,1139.26492263313,92.85719477
2022-12-17 19:00:00,Bitfinex,SOL/USD,12.267,12.343,12.259,12.29,14128.8228947406,1149.61943814
2022-12-17 18:00:00,Bitfinex,SOL/USD,12.216,12.325,12.172,12.288,9756.91148304384,794.01948918
2022-12-17 17:00:00,Bitfinex,SOL/USD,12.288,12.293,12.144,12.216,27840.2908471032,2279.0021977
2022-12-17 16:00:00,Bitfinex,SOL/USD,12.305,12.305,12.245,12.278,2115.15815103866,172.27220647
2022-12-17 15:00:00,Bitfinex,SOL/USD,12.292,12.379,12.251,12.316,5085.122165130921,412.88747687
2022-12-17 14:00:00,Bitfinex,SOL/USD,12.258,12.361,12.258,12.293,7033.17366161553,572.12833821
2022-12-17 13:00:00,Bitfinex,SOL/USD,12.24,12.279,12.233,12.239,4859.37351182703,397.04007777
2022-12-17 12:00:00,Bitfinex,SOL/USD,12.316,12.342,12.228,12.256,8492.0804478512,692.89168145
2022-12-17 11:00:00,Bitfinex,SOL/USD,12.472,12.472,12.282,12.327,15937.51246075338,1292.89465894
2022-12-17 10:00:00,Bitfinex,SOL/USD,12.338,12.521,12.338,12.521,8796.254614967771,702.52013537
2022-12-17 09:00:00,Bitfinex,SOL/USD,12.39,12.428,12.325,12.328,3085.49231812504,250.28328343
2022-12-17 08:00:00,Bitfinex,SOL/USD,12.456,12.458,12.365,12.406,10353.54829050748,834.55975258
2022-12-17 07:00:00,Bitfinex,SOL/USD,12.414,12.476,12.338,12.476,43442.15917139512,3482.05828562
2022-12-17 06:00:00,Bitfinex,SOL/USD,12.291,12.553,12.191,12.405,40944.81389017185,3300.67020477
2022-12-17 05:00:00,Bitfinex,SOL/USD,12.368,12.368,12.273,12.273,17027.295072762958,1387.37839752
2022-12-17 04:00:00,Bitfinex,SOL/USD,12.299,12.373,12.222,12.36,10597.6860904128,857.41796848
2022-12-17 03:00:00,Bitfinex,SOL/USD,12.237,12.321,12.212,12.258,32337.84507493896,2638.10124612
2022-12-17 02:00:00,Bitfinex,SOL/USD,12.113,12.219,11.928,12.217,128004.27295206794,10477.55365082
2022-12-17 01:00:00,Bitfinex,SOL/USD,12.274,12.304,12.124,12.131,16627.333081042183,1370.64818078
