Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_LTC
2022-12-18 22:00:00,Bitfinex,LTC/USD,64.364,65.175,64.363,64.676,49433.47381492016,764.32484716
2022-12-18 21:00:00,Bitfinex,LTC/USD,64.577,64.62,64.255,64.351,7324.821554123921,113.82607192
2022-12-18 20:00:00,Bitfinex,LTC/USD,64.641,64.909,64.468,64.527,7418.58235149921,114.96865423
2022-12-18 19:00:00,Bitfinex,LTC/USD,64.6,64.802,64.437,64.559,65847.93773745759,1019.96526801
2022-12-18 18:00:00,Bitfinex,LTC/USD,64.25,65.002,64.169,64.624,40289.08498787424,623.43842826
2022-12-18 17:00:00,Bitfinex,LTC/USD,63.829,64.37,63.829,64.169,24927.91636120786,388.47288194
2022-12-18 16:00:00,Bitfinex,LTC/USD,63.666,63.831,63.609,63.778,17560.48810675874,275.33770433
2022-12-18 15:00:00,Bitfinex,LTC/USD,63.675,63.83,63.666,63.666,7113.13601410044,111.72581934
2022-12-18 14:00:00,Bitfinex,LTC/USD,63.839,63.971,63.583,63.675,13478.5431489915,211.67715978
2022-12-18 13:00:00,Bitfinex,LTC/USD,64.334,64.44,63.845,63.879,8775.606647823539,137.37858526
2022-12-18 12:00:00,Bitfinex,LTC/USD,63.848,64.552,63.806,64.336,16658.776409251357,258.93397801
2022-12-18 11:00:00,Bitfinex,LTC/USD,63.349,64.049,63.232,63.844,37871.76943550748,593.19230367
2022-12-18 10:00:00,Bitfinex,LTC/USD,63.363,63.586,63.271,63.311,36940.7311941337,583.4804567
2022-12-18 09:00:00,Bitfinex,LTC/USD,64.562,64.564,63.11,63.389,64305.86016376459,1014.46402631
2022-12-18 08:00:00,Bitfinex,LTC/USD,64.55,64.713,64.444,64.579,6963.63232796524,107.83121956
2022-12-18 07:00:00,Bitfinex,LTC/USD,64.99,65.052,64.55,64.557,8413.200882040052,130.32205465
2022-12-18 06:00:00,Bitfinex,LTC/USD,65.072,65.113,64.848,64.945,9434.844719506498,145.2743817
2022-12-18 05:00:00,Bitfinex,LTC/USD,65.394,65.45,64.961,65.139,16529.87495847705,253.76310595
