https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOG
1650276000000,2022-04-18 10:00:00,DOG/USD,135590,137840,133210,133840,109.6832184,0.00081951
1650272400000,2022-04-18 09:00:00,DOG/USD,133300,135850,132930,132930,122.0390451,0.00091807
1650268800000,2022-04-18 08:00:00,DOG/USD,135970,137900,133290,133290,106.95056310000001,0.00080239
1650265200000,2022-04-18 07:00:00,DOG/USD,135630,136310,133280,135850,92.4798875,0.00068075
1650261600000,2022-04-18 06:00:00,DOG/USD,135760,135760,132960,135640,79.79023000000001,0.00058825
1650258000000,2022-04-18 05:00:00,DOG/USD,135630,136370,132690,135770,114.0766694,0.00084022
1650254400000,2022-04-18 04:00:00,DOG/USD,141100,142080,133090,133090,219.9325559,0.00165251
1650250800000,2022-04-18 03:00:00,DOG/USD,142930,142930,134320,141110,121.0935465,0.00085815
1650247200000,2022-04-18 02:00:00,DOG/USD,141360,142950,132810,141380,134.8397612,0.00095374
1650243600000,2022-04-18 01:00:00,DOG/USD,140770,142740,132880,141460,123.82984019999999,0.00087537
1650240000000,2022-04-18 00:00:00,DOG/USD,140410,142010,133980,133980,107.2483104,0.00080048
1650236400000,2022-04-17 23:00:00,DOG/USD,143040,143670,137230,140300,215.14163200000002,0.00153344
1650232800000,2022-04-17 22:00:00,DOG/USD,144180,144330,139790,144310,129.76210890000002,0.00089919
1650229200000,2022-04-17 21:00:00,DOG/USD,142960,144320,139170,144210,117.3811716,0.00081396
1650225600000,2022-04-17 20:00:00,DOG/USD,142890,143080,139530,139610,120.3005409,0.00086169
1650222000000,2022-04-17 19:00:00,DOG/USD,140220,144320,137400,142900,128.93867,0.0009023
1650218400000,2022-04-17 18:00:00,DOG/USD,141250,144300,137250,142920,112.599522,0.00078785
1650214800000,2022-04-17 17:00:00,DOG/USD,144160,145480,141250,141250,153.541575,0.00108702
1650211200000,2022-04-17 16:00:00,DOG/USD,145330,145790,142590,142970,113.6911737,0.00079521
1650207600000,2022-04-17 15:00:00,DOG/USD,145250,145780,141280,142580,120.1350564,0.00084258
1650204000000,2022-04-17 14:00:00,DOG/USD,144320,145770,141260,141270,125.9930622,0.00089186
1650200400000,2022-04-17 13:00:00,DOG/USD,144810,144820,142180,142390,108.686287,0.0007633
1650196800000,2022-04-17 12:00:00,DOG/USD,145010,145020,141680,144830,137.631949,0.0009503
1650193200000,2022-04-17 11:00:00,DOG/USD,145110,145160,142710,142710,116.993658,0.0008198
1650189600000,2022-04-17 10:00:00,DOG/USD,144880,146440,143130,145060,124.7864144,0.00086024
1650186000000,2022-04-17 09:00:00,DOG/USD,144960,145650,142940,144880,109.413376,0.0007552
1650182400000,2022-04-17 08:00:00,DOG/USD,145120,145230,142510,144970,129.1291281,0.0008907300000000001
1650178800000,2022-04-17 07:00:00,DOG/USD,145080,145120,142230,145120,118.287312,0.0008151
